"","subNr","age","gender","hand","iBlock","iTrial","cTarLoc","cTarSymNr","correct","response_time_search_resp"
"111",28685,20,0,1,0,30,4,0,1,1200
"112",28685,20,0,1,0,31,2,0,1,1409
"113",28685,20,0,1,0,32,1,0,0,2400
"114",28685,20,0,1,0,33,7,1,1,1935
"115",28685,20,0,1,0,34,2,1,1,2778
"116",28685,20,0,1,0,35,2,0,1,1438
"117",28685,20,0,1,0,36,7,0,1,2225
"118",28685,20,0,1,0,37,4,0,1,1648
"119",28685,20,0,1,0,38,4,1,1,790
"120",28685,20,0,1,0,39,3,1,0,3015
"121",28685,20,0,1,1,0,1,0,1,1646
"122",28685,20,0,1,1,1,3,0,1,1058
"123",28685,20,0,1,1,2,5,0,1,1754
"124",28685,20,0,1,1,3,6,1,1,2178
"125",28685,20,0,1,1,4,2,1,1,1427
"126",28685,20,0,1,1,5,1,0,1,2196
"127",28685,20,0,1,1,6,7,0,1,2129
"128",28685,20,0,1,1,7,1,1,1,2224
"129",28685,20,0,1,1,8,6,0,1,2721
"130",28685,20,0,1,1,9,2,1,1,1485
"131",28685,20,0,1,1,10,3,0,1,1116
"132",28685,20,0,1,1,11,7,0,1,2292
"133",28685,20,0,1,1,12,4,0,1,2135
"134",28685,20,0,1,1,13,0,1,1,2058
"135",28685,20,0,1,1,14,6,1,0,3014
"136",28685,20,0,1,1,15,2,0,1,2006
"137",28685,20,0,1,1,16,7,0,1,1972
"138",28685,20,0,1,1,17,4,0,0,2826
"139",28685,20,0,1,1,18,0,1,1,2955
"140",28685,20,0,1,1,19,3,1,1,1574
"141",28685,20,0,1,1,20,4,1,1,1157
"142",28685,20,0,1,1,21,0,1,1,2999
"143",28685,20,0,1,1,22,5,0,1,2244
"144",28685,20,0,1,1,23,7,1,1,2047
"145",28685,20,0,1,1,24,7,0,1,909
"146",28685,20,0,1,1,25,7,1,1,697
"147",28685,20,0,1,1,26,6,1,1,1728
"148",28685,20,0,1,1,27,2,1,1,1512
"149",28685,20,0,1,1,28,3,1,1,1682
"150",28685,20,0,1,1,29,4,1,1,2294
"151",28685,20,0,1,1,30,0,1,0,3015
"152",28685,20,0,1,1,31,6,1,1,2982
"153",28685,20,0,1,1,32,2,1,1,1930
"154",28685,20,0,1,1,33,5,1,1,1364
"155",28685,20,0,1,1,34,5,1,1,1409
"156",28685,20,0,1,1,35,3,0,1,1311
"157",28685,20,0,1,1,36,3,1,1,1172
"158",28685,20,0,1,1,37,1,1,1,2490
"159",28685,20,0,1,1,38,1,1,1,1459
"160",28685,20,0,1,1,39,7,1,1,2287
"161",28685,20,0,1,1,40,3,0,1,1351
"162",28685,20,0,1,1,41,1,1,1,1625
"163",28685,20,0,1,1,42,4,1,1,1360
"164",28685,20,0,1,1,43,0,0,0,3016
"165",28685,20,0,1,1,44,5,1,1,1290
"166",28685,20,0,1,1,45,6,0,1,2691
"167",28685,20,0,1,1,46,2,0,1,1025
"168",28685,20,0,1,1,47,5,0,1,1149
"169",28685,20,0,1,1,48,6,0,0,3011
"170",28685,20,0,1,1,49,2,0,1,1426
"171",28685,20,0,1,1,50,5,0,1,1924
"172",28685,20,0,1,1,51,4,0,1,2757
"173",28685,20,0,1,1,52,0,0,0,2403
"174",28685,20,0,1,1,53,1,0,1,1338
"175",28685,20,0,1,1,54,5,1,0,1510
"176",28685,20,0,1,1,55,4,1,1,2694
"177",28685,20,0,1,1,56,0,0,1,1832
"178",28685,20,0,1,1,57,1,0,1,2524
"179",28685,20,0,1,1,58,3,1,1,2358
"180",28685,20,0,1,1,59,7,1,1,2142
"181",28685,20,0,1,1,60,4,0,1,1351
"182",28685,20,0,1,1,61,0,0,1,2390
"183",28685,20,0,1,1,62,6,0,0,3015
"184",28685,20,0,1,1,63,2,0,1,1402
"185",28685,20,0,1,2,0,5,0,1,1160
"186",28685,20,0,1,2,1,1,1,1,1496
"187",28685,20,0,1,2,2,1,0,1,1149
"188",28685,20,0,1,2,3,4,0,1,1059
"189",28685,20,0,1,2,4,0,0,0,2565
"190",28685,20,0,1,2,5,1,0,1,1786
"191",28685,20,0,1,2,6,4,1,1,1242
"192",28685,20,0,1,2,7,0,1,1,1090
"193",28685,20,0,1,2,8,3,1,0,1278
"194",28685,20,0,1,2,9,6,0,0,2820
"195",28685,20,0,1,2,10,2,1,0,3015
"196",28685,20,0,1,2,11,3,0,1,1109
"197",28685,20,0,1,2,12,5,0,1,1357
"198",28685,20,0,1,2,13,5,1,1,859
"199",28685,20,0,1,2,14,6,1,0,1848
"200",28685,20,0,1,2,15,2,1,1,2121
"201",28685,20,0,1,2,16,5,0,1,895
"202",28685,20,0,1,2,17,1,0,1,2048
"203",28685,20,0,1,2,18,7,1,1,2424
"204",28685,20,0,1,2,19,1,1,1,2123
"205",28685,20,0,1,2,20,6,1,0,1193
"206",28685,20,0,1,2,21,2,0,0,3015
"207",28685,20,0,1,2,22,3,0,1,1029
"208",28685,20,0,1,2,23,7,0,0,2848
"209",28685,20,0,1,2,24,6,1,0,3016
"210",28685,20,0,1,2,25,2,1,1,2050
"211",28685,20,0,1,2,26,5,1,1,1264
"212",28685,20,0,1,2,27,4,1,1,916
"213",28685,20,0,1,2,28,0,0,1,2394
"214",28685,20,0,1,2,29,6,0,1,2381
"215",28685,20,0,1,2,30,2,1,1,1524
"216",28685,20,0,1,2,31,1,1,1,1662
"217",28685,20,0,1,2,32,3,1,1,1269
"218",28685,20,0,1,2,33,6,0,1,1061
"219",28685,20,0,1,2,34,2,0,0,2192
"220",28685,20,0,1,2,35,4,1,1,1884
"221",28685,20,0,1,2,36,0,1,1,1362
"222",28685,20,0,1,2,37,1,1,0,1727
"223",28685,20,0,1,2,38,6,0,1,2615
"224",28685,20,0,1,2,39,2,0,0,2146
"225",28685,20,0,1,2,40,3,0,1,2753
"226",28685,20,0,1,2,41,4,1,0,1418
"227",28685,20,0,1,2,42,0,0,0,1658
"228",28685,20,0,1,2,43,3,0,1,2223
"229",28685,20,0,1,2,44,3,1,1,807
"230",28685,20,0,1,2,45,4,0,1,1233
"231",28685,20,0,1,2,46,0,0,0,1355
"232",28685,20,0,1,2,47,7,0,1,1295
"233",28685,20,0,1,2,48,4,0,1,1697
"234",28685,20,0,1,2,49,0,1,1,1155
"235",28685,20,0,1,2,50,5,0,1,1746
"236",28685,20,0,1,2,51,1,0,0,2001
"237",28685,20,0,1,2,52,4,0,1,988
"238",28685,20,0,1,2,53,0,1,1,1264
"239",28685,20,0,1,2,54,5,1,1,1786
"240",28685,20,0,1,2,55,7,1,1,1411
"241",28685,20,0,1,2,56,7,0,1,642
"242",28685,20,0,1,2,57,7,1,1,841
"243",28685,20,0,1,2,58,7,1,1,793
"244",28685,20,0,1,2,59,7,0,1,636
"245",28685,20,0,1,2,60,3,1,1,2064
"246",28685,20,0,1,2,61,6,1,1,1699
"247",28685,20,0,1,2,62,2,0,1,1831
"248",28685,20,0,1,2,63,5,1,1,1349
"249",28685,20,0,1,3,0,1,1,1,2176
"250",28685,20,0,1,3,1,6,0,1,1275
"251",28685,20,0,1,3,2,2,0,1,1389
"252",28685,20,0,1,3,3,4,0,0,2610
"253",28685,20,0,1,3,4,0,1,1,1761
"254",28685,20,0,1,3,5,5,1,1,1377
"255",28685,20,0,1,3,6,5,1,1,766
"256",28685,20,0,1,3,7,7,0,1,1711
"257",28685,20,0,1,3,8,4,1,0,2341
"258",28685,20,0,1,3,9,0,1,1,1759
"259",28685,20,0,1,3,10,6,0,1,1807
"260",28685,20,0,1,3,11,2,1,1,2455
"261",28685,20,0,1,3,12,3,1,1,1275
"262",28685,20,0,1,3,13,3,0,1,734
"263",28685,20,0,1,3,14,1,1,1,1913
"264",28685,20,0,1,3,15,7,1,1,1818
"265",28685,20,0,1,3,16,6,1,1,1551
"266",28685,20,0,1,3,17,2,1,0,2118
"267",28685,20,0,1,3,18,4,1,1,1063
"268",28685,20,0,1,3,19,0,0,1,1588
"269",28685,20,0,1,3,20,6,1,1,1533
"270",28685,20,0,1,3,21,2,1,1,1455
"271",28685,20,0,1,3,22,3,1,1,1116
"272",28685,20,0,1,3,23,1,1,1,2507
"273",28685,20,0,1,3,24,1,0,1,1942
"274",28685,20,0,1,3,25,1,0,1,710
"275",28685,20,0,1,3,26,5,1,0,1407
"276",28685,20,0,1,3,27,1,0,1,1640
"277",28685,20,0,1,3,28,3,0,1,1919
"278",28685,20,0,1,3,29,7,1,1,1368
"279",28685,20,0,1,3,30,5,0,1,1553
"280",28685,20,0,1,3,31,5,1,1,809
"281",28685,20,0,1,3,32,4,0,1,1394
"282",28685,20,0,1,3,33,0,0,1,2232
"283",28685,20,0,1,3,34,6,1,0,3015
"284",28685,20,0,1,3,35,2,0,0,2225
"285",28685,20,0,1,3,36,4,1,0,2549
"286",28685,20,0,1,3,37,0,1,1,1550
"287",28685,20,0,1,3,38,5,0,1,1476
"288",28685,20,0,1,3,39,7,0,1,2856
"289",28685,20,0,1,3,40,3,1,1,2267
"290",28685,20,0,1,3,41,3,1,1,806
"291",28685,20,0,1,3,42,6,0,1,1951
"292",28685,20,0,1,3,43,2,0,1,2394
"293",28685,20,0,1,3,44,1,0,0,3016
"294",28685,20,0,1,3,45,6,1,0,3016
"295",28685,20,0,1,3,46,2,1,1,1982
"296",28685,20,0,1,3,47,5,0,1,1506
"297",28685,20,0,1,3,48,4,0,1,2002
"298",28685,20,0,1,3,49,0,0,1,2257
"299",28685,20,0,1,3,50,7,0,1,2180
"300",28685,20,0,1,3,51,3,0,1,1294
"301",28685,20,0,1,3,52,4,0,1,1106
"302",28685,20,0,1,3,53,0,1,0,2111
"303",28685,20,0,1,3,54,5,0,1,1043
"304",28685,20,0,1,3,55,7,1,1,931
"305",28685,20,0,1,3,56,6,0,1,2379
"306",28685,20,0,1,3,57,2,0,1,1718
"307",28685,20,0,1,3,58,7,1,1,1539
"308",28685,20,0,1,3,59,4,1,1,1012
"309",28685,20,0,1,3,60,0,0,1,1568
"310",28685,20,0,1,3,61,3,0,1,1313
"311",28685,20,0,1,3,62,7,0,1,1891
"312",28685,20,0,1,3,63,1,1,1,1966
"313",28685,20,0,1,4,0,6,1,1,1993
"314",28685,20,0,1,4,1,2,1,1,2320
"315",28685,20,0,1,4,2,5,1,1,950
"316",28685,20,0,1,4,3,3,1,1,921
"317",28685,20,0,1,4,4,4,1,1,1941
"318",28685,20,0,1,4,5,0,1,1,1728
"319",28685,20,0,1,4,6,3,0,1,932
"320",28685,20,0,1,4,7,4,1,0,2776
"321",28685,20,0,1,4,8,0,0,1,1221
"322",28685,20,0,1,4,9,3,0,1,970
"323",28685,20,0,1,4,10,4,1,1,1309
"324",28685,20,0,1,4,11,0,0,1,1209
"325",28685,20,0,1,4,12,3,0,1,1822
"326",28685,20,0,1,4,13,1,1,1,2395
"327",28685,20,0,1,4,14,7,0,1,2193
"328",28685,20,0,1,4,15,4,0,1,1810
"329",28685,20,0,1,4,16,0,1,1,2070
"330",28685,20,0,1,4,17,5,0,1,1858
"331",28685,20,0,1,4,18,6,0,1,1665
"332",28685,20,0,1,4,19,2,0,1,1686
